accident_year,latest_dev,latest_paid,cdf_to_ultimate,cl_ultimate_loss,cl_ibnr
1981,120,18834.0,1.0,18834.0,0.0
1982,108,16704.0,1.0092165898617511,16857.95391705069,153.9539170506905
1983,96,23466.0,1.0263091674684617,24083.37092381492,617.3709238149204
1984,84,27067.0,1.0604478576650869,28703.142163420907,1636.1421634209073
1985,72,26180.0,1.1049173545997788,28926.73634342221,2746.7363434222098
1986,60,15852.0,1.2301982831186211,19501.103183996383,3649.1031839963834
1987,48,12314.0,1.441392121998959,17749.30259029518,5435.302590295181
1988,36,13112.0,1.8318481169544965,24019.192509507357,10907.192509507357
1989,24,5395.0,2.974047099296042,16044.984100702148,10649.984100702148
1990,12,2063.0,8.920233896752476,18402.44252900036,16339.44252900036
